,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
730,290380,18873,Uncertain Eruption,1,unknown,1971,7,2,1971,7,2,1971-07-02,1971-07-02
731,290380,18874,Confirmed Eruption,1,Observations: Reported,1987,10,14,1988,1,16,1987-10-14,1988-01-16
732,290380,18875,Confirmed Eruption,2,Observations: Reported,1989,2,2,1990,4,15,1989-02-02,1990-04-15
733,290380,18876,Confirmed Eruption,1,Observations: Reported,1991,1,16,1991,1,16,1991-01-16,1991-01-16
734,290380,22176,Confirmed Eruption,2,Observations: Reported,2016,10,20,2021,11,9,2016-10-20,2021-11-09
735,290390,22281,Confirmed Eruption,1,Observations: Reported,2018,8,20,2018,8,21,2018-08-20,2018-08-21
736,290390,20750,Confirmed Eruption,2,Observations: Reported,2012,10,5,2012,12,12,2012-10-05,2012-12-12
737,290390,18888,Confirmed Eruption,2,Observations: Reported,1981,11,25,1981,11,25,1981-11-25,1981-11-25
738,290390,18889,Confirmed Eruption,2,Observations: Reported,1982,3,29,1982,3,29,1982-03-29,1982-03-29
739,290390,18890,Confirmed Eruption,2,Observations: Reported,1986,5,25,1986,5,28,1986-05-25,1986-05-28
740,290390,18891,Confirmed Eruption,2,Observations: Reported,1996,12,3,1996,12,3,1996-12-03,1996-12-03
741,290390,18885,Confirmed Eruption,3,Observations: Reported,1972,6,18,1972,9,11,1972-06-18,1972-09-11
742,290390,18887,Confirmed Eruption,4,Observations: Reported,1981,4,27,1981,6,5,1981-04-27,1981-06-05
743,290390,21096,Confirmed Eruption,1,Observations: Reported,2015,9,29,2016,8,11,2015-09-29,2016-08-11
744,300010,22198,Confirmed Eruption,3,Observations: Reported,2017,3,24,2017,4,23,2017-03-24,2017-04-23
745,300040,18920,Uncertain Eruption,1,unknown,1972,3,16,1972,3,16,1972-03-16,1972-03-16
785,283110,22326,Confirmed Eruption,2,Observations: Reported,2019,8,7,2019,8,25,2019-08-07,2019-08-25
786,283110,21081,Confirmed Eruption,1,Observations: Reported,2015,6,16,2015,6,19,2015-06-16,2015-06-19
787,283110,17807,Confirmed Eruption,2,Observations: Reported,1983,4,8,1983,4,8,1983-04-08,1983-04-08
788,283110,17808,Confirmed Eruption,2,Observations: Reported,1990,7,20,1990,7,20,1990-07-20,1990-07-20
